gid,team,name,event,minute,description
560551,1,Colorado Rapids,free kick,1,Younes Namli (Colorado Rapids) wins a free kick on the right wing.
560551,0,D.C. United,free kick,2,Felipe (D.C. United) wins a free kick in the defensive half.
560551,0,D.C. United,free kick,2,Ola Kamara (D.C. United) wins a free kick in the defensive half.
560551,1,Colorado Rapids,corner,4,Corner Colorado Rapids. Conceded by Frédéric Brillant.
560551,1,Colorado Rapids,free kick,5,Andre Shinyashiki (Colorado Rapids) wins a free kick on the left wing.
560551,0,D.C. United,free kick,10,Ola Kamara (D.C. United) wins a free kick in the attacking half.
560551,1,Colorado Rapids,corner,12,Corner Colorado Rapids. Conceded by Joseph Mora.
560551,1,Colorado Rapids,free kick,18,Drew Moor (Colorado Rapids) wins a free kick in the defensive half.
560551,0,D.C. United,free kick,19,Ola Kamara (D.C. United) wins a free kick in the attacking half.
560551,1,Colorado Rapids,free kick,20,Younes Namli (Colorado Rapids) wins a free kick in the attacking half.
560551,1,Colorado Rapids,free kick,21,Andre Shinyashiki (Colorado Rapids) wins a free kick in the attacking half.
560551,0,D.C. United,free kick,23,Julian Gressel (D.C. United) wins a free kick in the defensive half.
560551,0,D.C. United,offside,26,Offside D.C. United. Edison Flores tries a through ball but Julian Gressel is caught offside.
560551,0,D.C. United,free kick,27,Felipe (D.C. United) wins a free kick in the attacking half.
560551,0,D.C. United,offside,28,Offside D.C. United. Julian Gressel tries a through ball but Edison Flores is caught offside.
560551,1,Colorado Rapids,free kick,29,Keegan Rosenberry (Colorado Rapids) wins a free kick in the defensive half.
560551,1,Colorado Rapids,free kick,33,Sam Nicholson (Colorado Rapids) wins a free kick in the attacking half.
560551,1,Colorado Rapids,free kick,41,Drew Moor (Colorado Rapids) wins a free kick in the defensive half.
560551,1,Colorado Rapids,corner,42,Corner Colorado Rapids. Conceded by Bill Hamid.
560551,1,Colorado Rapids,corner,43,Corner Colorado Rapids. Conceded by Bill Hamid.
560551,1,Colorado Rapids,corner,45,Corner Colorado Rapids. Conceded by Frédéric Brillant.
560551,1,Colorado Rapids,corner,46,Corner Colorado Rapids. Conceded by Steven Birnbaum.
560551,0,D.C. United,free kick,48,Felipe (D.C. United) wins a free kick in the attacking half.
560551,0,D.C. United,free kick,52,Russell Canouse (D.C. United) wins a free kick in the defensive half.
560551,0,D.C. United,free kick,54,Frédéric Brillant (D.C. United) wins a free kick in the defensive half.
560551,1,Colorado Rapids,offside,57,Offside Colorado Rapids. Lalas Abubakar tries a through ball but Andre Shinyashiki is caught offside.
560551,0,D.C. United,free kick,57,Russell Canouse (D.C. United) wins a free kick in the attacking half.
560551,1,Colorado Rapids,yellow card,58,Andre Shinyashiki (Colorado Rapids) is shown the yellow card for a bad foul.
560551,0,D.C. United,free kick,59,Felipe (D.C. United) wins a free kick on the left wing.
560551,0,D.C. United,corner,59,Corner D.C. United. Conceded by Lalas Abubakar.
560551,0,D.C. United,goal,60,Goal! D.C. United 1 Colorado Rapids 0. Russell Canouse (D.C. United) header from very close range to the bottom left corner. Assisted by Julian Gressel with a cross  following a corner.
560551,1,Colorado Rapids,free kick,64,Kellyn Acosta (Colorado Rapids) wins a free kick in the defensive half.
560551,0,D.C. United,yellow card,64,Júnior Moreno (D.C. United) is shown the yellow card for a bad foul.
560551,1,Colorado Rapids,substitution,64,Substitution Colorado Rapids. Nicolás Mezquida replaces Younes Namli.
560551,1,Colorado Rapids,corner,66,Corner Colorado Rapids. Conceded by Frédéric Brillant.
560551,1,Colorado Rapids,goal,67,Goal! D.C. United 1 Colorado Rapids 1. Kei Kamara (Colorado Rapids) header from the centre of the box to the centre of the goal. Assisted by Jack Price with a cross  following a corner.
560551,0,D.C. United,offside,68,Offside D.C. United. Ulises Segura tries a through ball but Edison Flores is caught offside.
560551,1,Colorado Rapids,corner,69,Corner Colorado Rapids. Conceded by Russell Canouse.
560551,0,D.C. United,free kick,70,Bill Hamid (D.C. United) wins a free kick in the defensive half.
560551,0,D.C. United,free kick,71,Ulises Segura (D.C. United) wins a free kick in the defensive half.
560551,0,D.C. United,substitution,71,Substitution D.C. United. Yamil Asad replaces Edison Flores.
560551,1,Colorado Rapids,free kick,71,Sam Nicholson (Colorado Rapids) wins a free kick in the defensive half.
